time,temperature,conversion
740.202,412.9813,0.006140663
740.298,412.9968,0.006172252
740.4,413.013,0.006205888
740.502,413.0277,0.006239599
740.598,413.0433,0.006271396
740.7,413.0582,0.006305253
740.802,413.0725,0.006339184
740.898,413.0863,0.006371188
741,413.1017,0.006405269
741.102,413.1175,0.006439427
741.198,413.1323,0.006471647
741.3,413.1474,0.00650596
741.402,413.1626,0.006540353
741.498,413.1773,0.006572798
741.6,413.1922,0.006607349
741.702,413.2083,0.006641978
741.798,413.2235,0.006674638
741.9,413.2378,0.006709416
742.002,413.2531,0.006744271
742.098,413.2683,0.006777148
742.2,413.2823,0.006812158
742.302,413.2977,0.006847246
742.398,413.3131,0.006880338
742.5,413.3269,0.006915578
742.602,413.3429,0.006950901
742.698,413.3575,0.006984221
742.8,413.373,0.007019702
742.902,413.389,0.007055264
742.998,413.4029,0.007088805
743.1,413.4185,0.007124512
743.202,413.4333,0.007160295
743.298,413.4483,0.007194041
743.4,413.4629,0.007229969
743.502,413.4777,0.007265977
743.598,413.4928,0.007299942
743.7,413.5081,0.007336112
743.802,413.5228,0.007372365
743.898,413.5378,0.007406557
744,413.5526,0.007442965
744.102,413.5685,0.007479456
744.198,413.583,0.007513873
744.3,413.5978,0.007550516
744.402,413.6128,0.00758724
744.498,413.6279,0.007621878
744.6,413.6422,0.007658763
744.702,413.6585,0.007695731
744.798,413.6728,0.007730602
744.9,413.6879,0.007767734
745.002,413.7028,0.007804947
745.098,413.7175,0.007840045
745.2,413.7326,0.007877416
745.302,413.7475,0.007914867
745.398,413.7627,0.007950189
745.5,413.7774,0.007987802
745.602,413.7934,0.0080255
745.698,413.8082,0.008061061
745.8,413.8227,0.008098932
745.902,413.8377,0.008136893
745.998,413.8536,0.008172701
746.1,413.8689,0.008210832
746.202,413.8833,0.008249046
746.298,413.8983,0.008285089
746.4,413.9134,0.008323468
746.502,413.9276,0.008361926
746.598,413.9435,0.008398197
746.7,413.9581,0.008436813
746.802,413.9725,0.008475513
746.898,413.988,0.008512011
747,414.0038,0.008550863
747.102,414.0176,0.008589796
747.198,414.0328,0.008626512
747.3,414.0487,0.0086656
747.402,414.0635,0.008704771
747.498,414.0783,0.008741717
747.6,414.0933,0.008781058
747.702,414.1078,0.008820486
747.798,414.1224,0.008857676
747.9,414.1381,0.008897279
748.002,414.1523,0.008936969
748.098,414.1683,0.008974401
748.2,414.1831,0.009014248
748.302,414.1988,0.009054176
748.398,414.2132,0.00909183
748.5,414.2293,0.009131913
748.602,414.2434,0.009172079
748.698,414.2591,0.009209963
748.8,414.2739,0.009250299
748.902,414.289,0.009290722
748.998,414.303,0.009328844
749.1,414.3185,0.009369431
749.202,414.3337,0.009410104
749.298,414.3493,0.009448462
749.4,414.3644,0.009489293
749.502,414.3788,0.009530198
749.598,414.3939,0.009568769
749.7,414.4089,0.009609833
749.802,414.4233,0.009650983
749.898,414.4386,0.009689789
750,414.4543,0.009731103
750.102,414.4684,0.009772504
750.198,414.484,0.009811546
750.3,414.4985,0.00985311
750.402,414.5138,0.009894761
750.498,414.53,0.009934041
750.6,414.5437,0.009975859
750.702,414.5594,0.010017754
750.798,414.5741,0.010057259
750.9,414.5882,0.010099318
751.002,414.6043,0.010141464
751.098,414.6175,0.01018121
751.2,414.6337,0.010223525
751.302,414.6484,0.010265924
751.398,414.6638,0.010305906
751.5,414.6791,0.010348469
751.602,414.6942,0.010391112
751.698,414.708,0.010431324
751.8,414.723,0.010474137
751.902,414.7391,0.010517043
751.998,414.7531,0.01055751
752.1,414.7696,0.010600595
752.202,414.7843,0.010643765
752.298,414.7991,0.010684474
752.4,414.8143,0.010727806
752.502,414.8295,0.010771218
752.598,414.8441,0.010812154
752.7,414.8589,0.01085573
752.802,414.874,0.01089939
752.898,414.8897,0.010940561
753,414.9037,0.010984391
753.102,414.9198,0.011028307
753.198,414.9334,0.011069719
753.3,414.9488,0.011113799
753.402,414.9637,0.01115796
753.498,414.9794,0.011199602
753.6,414.9942,0.011243932
753.702,415.0085,0.011288346
